uptime,temperature,humidity,weather,leakage_current
2020/6/9 1:53,25,85,3,30
2020/6/9 3:54,24,89,3,30
2020/6/9 20:07,28,73,1,35
2020/6/9 21:52,27,77,1,34
2020/6/8 2:08,22,78,4,28
2020/6/8 3:55,21,85,4,27
2020/6/8 22:00,26,79,4,35
2020/6/7 2:07,20,99,1,31
2020/6/7 3:59,21,94,1,29
2020/6/7 22:06,25,67,4,33
2020/6/7 23:57,24,70,3,30
2020/6/6 2:08,17,99,3,27
2020/6/6 4:15,18,99,3,26
2020/6/6 22:03,22,98,1,33
2020/6/6 23:59,20,99,1,30
2020/6/5 2:08,25,91,1,24
2020/6/5 4:11,25,96,1,24
2020/6/5 22:07,19,98,1,38
2020/6/4 2:01,24,94,3,23
2020/6/4 4:11,22,99,3,29
2020/6/4 22:01,27,82,1,36
2020/6/4 23:59,26,87,1,34
2020/6/3 2:03,24,88,1,29
2020/6/3 4:04,24,82,1,28
2020/6/3 20:02,28,66,1,34
2020/6/3 22:03,26,85,1,34
2020/6/2 1:58,24,81,3,30
2020/6/2 4:05,22,95,3,28
2020/6/2 22:11,27,83,1,34
2020/6/1 2:10,21,99,1,120
2020/6/1 3:58,20,99,1,116
2020/6/1 20:01,27,65,3,31
2020/6/1 22:07,24,87,3,28
2020/6/1 23:48,25,79,4,30
2020/5/31 2:04,20,99,4,115
2020/5/31 4:01,18,99,4,106
2020/5/31 20:09,25,79,1,132
2020/5/31 21:52,23,92,1,128
2020/5/30 2:09,18,89,1,96
2020/5/30 4:10,18,95,1,94
2020/5/30 20:00,23,83,4,119
2020/5/30 21:52,21,92,3,113
2020/5/30 23:54,20,98,4,109
2020/5/29 1:55,22,87,1,133
2020/5/29 4:06,21,95,1,130
2020/5/29 22:05,19,81,1,101
2020/5/28 2:02,21,86,4,134
2020/5/28 3:55,19,95,4,132
2020/5/28 20:00,26,69,1,144
2020/5/28 21:54,24,84,1,141
2020/5/27 2:01,20,90,3,29
2020/5/27 3:56,19,97,3,27
2020/5/27 20:06,26,65,3,144
2020/5/27 21:53,24,68,3,143
2020/5/27 23:57,22,82,3,139
2020/5/26 2:04,17,96,4,34
2020/5/26 3:52,17,99,4,26
2020/5/26 20:02,24,72,1,27
2020/5/26 22:08,22,77,1,31
2020/5/26 23:56,22,81,3,31
2020/5/25 1:52,23,62,1,38
2020/5/25 4:05,21,69,1,30
2020/5/25 20:06,19,82,1,33
2020/5/25 21:56,18,90,1,32
2020/5/24 2:00,22,87,4,135
2020/5/24 3:57,22,87,4,130
2020/5/24 21:55,25,48,1,37
2020/5/23 2:00,21,88,3,30
2020/5/23 4:06,21,93,3,30
2020/5/23 20:08,26,61,4,34
2020/5/23 22:09,24,76,4,31
2020/5/22 2:02,19,97,3,31
2020/5/22 4:00,18,99,3,30
2020/5/22 20:03,25,75,3,38
2020/5/22 22:01,22,88,3,28
2020/5/21 2:02,21,71,3,29
2020/5/21 4:06,19,80,3,29
2020/5/21 20:02,24,69,1,36
2020/5/21 21:56,24,73,1,36
2020/5/20 1:06,20,59,1,28
2020/5/20 2:59,17,85,1,26
2020/5/20 21:12,21,74,1,36
2020/5/20 21:54,20,75,1,35
2020/5/19 1:01,14,89,4,26
2020/5/19 3:04,14,85,4,25
2020/5/19 21:09,21,63,3,40
